mjd,w1mag,w1sigm,w2mag,w2sigm,qual_frame,ra,dec,group
58014.82635366,8.916,0.009,7.41,0.007,10,85.6778571,-10.4192832,8
58014.89180532,8.784,0.009,7.483,0.008,10,85.677841,-10.4193003,8
58014.95725704,8.814,0.008,7.457,0.007,10,85.6778647,-10.4193104,8
58015.02270875,8.776,0.008,7.494,0.008,10,85.6778648,-10.4193034,8
58015.15361207,8.761,0.008,7.559,0.007,10,85.6778671,-10.4193079,8
58015.28464271,8.844,0.008,7.563,0.008,10,85.6778805,-10.4193118,8
58015.41554604,8.809,0.008,7.47,0.01,10,85.6778723,-10.4192866,8
58169.2023689,8.879,0.008,7.679,0.007,10,85.677899,-10.4193378,9
58169.33327332,8.911,0.008,7.747,0.008,10,85.6778752,-10.4193465,9
58169.5296299,8.917,0.008,7.702,0.007,10,85.6778944,-10.4193297,9
58169.59508209,8.973,0.008,7.795,0.008,10,85.6778692,-10.4193447,9
58169.66053426,8.939,0.014,7.768,0.008,10,85.6778969,-10.41933,9
58169.72598647,8.881,0.008,7.769,0.008,10,85.6778605,-10.4193368,9
58169.79143868,8.943,0.008,7.737,0.009,10,85.6778429,-10.4193329,9
58169.85689088,8.922,0.008,7.715,0.007,10,85.6778711,-10.4193558,9
58169.92234314,8.938,0.008,7.732,0.007,10,85.6778543,-10.4193247,9
58170.05324756,8.974,0.008,7.751,0.008,10,85.6778708,-10.4193391,9
58170.18415197,8.967,0.008,7.831,0.007,10,85.6778642,-10.4193442,9
58170.31492897,8.956,0.011,7.742,0.007,10,85.6778629,-10.4193398,9
58170.31505639,9.054,0.011,7.786,0.007,10,85.6778818,-10.419328,9
58174.11064799,8.882,0.008,7.533,0.015,10,85.6778654,-10.4192943,9
58378.45894964,8.344,0.008,7.196,0.007,10,85.6778758,-10.4193082,10
58378.58972568,8.385,0.008,7.224,0.007,10,85.677869,-10.4193219,10
58378.72062899,8.353,0.007,7.254,0.009,10,85.6778612,-10.419341,10
58378.78608067,8.37,0.007,7.291,0.007,10,85.6778825,-10.4193412,10
58378.8515324,8.558,0.008,7.189,0.007,10,85.6778806,-10.4193356,10
58378.91698403,8.386,0.008,7.266,0.007,10,85.6778723,-10.4193291,10
58378.98243571,8.399,0.008,7.186,0.009,10,85.6778569,-10.419331,10
58379.04788738,8.395,0.008,7.303,0.007,10,85.6778558,-10.4193338,10
58379.11321233,8.427,0.008,7.242,0.007,10,85.6778525,-10.4193115,10
58379.17866395,8.248,0.008,7.185,0.007,10,85.6778554,-10.4193316,10
58379.30956727,8.455,0.009,7.273,0.017,10,85.6778288,-10.4193826,10
58379.44047058,8.24,0.009,7.265,0.01,10,85.6778789,-10.4192968,10
58379.57137389,8.294,0.008,7.146,0.007,10,85.6778565,-10.4193224,10
58536.17396992,8.401,0.008,7.209,0.01,10,85.6779078,-10.4193382,11
58536.30487348,8.308,0.015,7.338,0.008,5,85.6778868,-10.4193481,11
58536.43577719,8.246,0.008,7.225,0.007,10,85.6778421,-10.4193489,11
58536.5011017,8.318,0.008,7.112,0.007,10,85.6778384,-10.4193344,11
58536.56655354,8.269,0.011,7.146,0.007,10,85.6778568,-10.4193293,11
58536.63200537,8.205,0.013,7.117,0.007,10,85.6778936,-10.419329,11
58536.69745715,8.3,0.007,7.188,0.007,10,85.6778811,-10.4193374,11
58536.76290903,8.246,0.008,7.209,0.007,10,85.6778557,-10.4193405,11
58536.82823354,8.303,0.008,7.206,0.007,10,85.6778617,-10.4193713,11
58536.89368537,8.281,0.009,7.129,0.008,10,85.677859,-10.4193525,11
58537.02458903,8.279,0.007,7.18,0.009,10,85.6779006,-10.4193499,11
58537.15536538,8.29,0.008,7.136,0.006,5,85.6778848,-10.4193606,11
58537.28626899,8.365,0.007,7.209,0.007,5,85.6778669,-10.419374,11
58742.60829008,8.318,0.007,7.127,0.007,10,85.6779062,-10.4193182,12
58742.6084174,8.372,0.009,7.181,0.007,10,85.677852,-10.4193112,12
58742.73919322,8.278,0.007,7.093,0.007,10,85.6778809,-10.419325,12
58742.86996914,8.174,0.011,7.157,0.007,10,85.6778491,-10.4193273,12
58743.00087237,8.216,0.01,7.208,0.01,10,85.6778364,-10.4193383,12
58743.06619664,8.042,0.008,6.883,0.007,10,85.6779123,-10.4193502,12
58743.06632402,8.028,0.008,6.853,0.007,10,85.6778725,-10.4193295,12
58743.13164829,8.116,0.008,6.976,0.008,10,85.6778608,-10.4193212,12
58743.19709984,8.08,0.008,6.932,0.007,10,85.6778773,-10.4193033,12
58743.26255147,8.061,0.008,7.01,0.007,10,85.6778671,-10.4193257,12
58743.32787575,8.137,0.008,7.065,0.007,10,85.6778429,-10.4193266,12
58743.39332796,8.042,0.008,6.857,0.007,10,85.67786,-10.4193458,12
58743.45877955,8.099,0.009,6.896,0.015,10,85.6778701,-10.4193296,12
58743.58955537,8.022,0.018,6.874,0.009,10,85.6778665,-10.4193275,12
58743.72045855,8.083,0.008,7.147,0.008,10,85.6778406,-10.4193166,12
58743.85123448,8.125,0.007,6.954,0.006,5,85.677856,-10.4192851,12
