Index,ra,dec,dist_sd,avg_W1,stdev_W1,avg_eW1,avg_W2,stdev_W2,avg_eW2,N_w1,N_w2,slope_w1,slope_w2,sd_sdfid_w1_flux,sd_sdfid_w2_flux,sd_sdfid_w1_mag,sd_sdfid_w2_mag,Delta_w1,Delta_w2,Delta_w1_flux,Delta_w2_flux,class,catalogue,Sw1,DeltaSw1,Sw2,DeltaSw2,SDw1,SDfidw1,SDw2,SDfidw2,chi2_mean_w1,chi2_wmean_w1,chi2_slope_w1,chi2_mean_w2,chi2_wmean_w2,chi2_slope_w2,linear_fap_w1,linear_fap_w2,center_mag_w1,center_mag_w2,max_W1,min_W1,median_W1,max_W2,min_W2,median_W2,period,power,baluev_fap,single_fap,mod_baluev_fap,amp,sinamp,ls_meanjy,sd_sdfid_periodrmv,sd_periodrmv,chi2_period_w2,linear_fap_periodrmv,Deltaw2_periodrmv,var_type,combined_type,sd_linrmv,mu_linrmv,sd_mu_linrmv,Deltaw2_linrmv
115,85.365416666,-9.528083333,0.03438128267937079,9.401245797258298,0.17025294288796478,0.03961160881309885,8.884094606782105,0.1646310121615063,0.043958356091449616,14,14,-3.942022230216378,-3.2214135216164435,4.235046836237879,3.6860117189539485,4.2980567563230405,3.7451585272891688,0.5498750000000001,0.5242916666666666,0.027919844086935992,0.02467845268016197,D,Megeath,-7.576303398914799e-05,1.9219331998792238e-05,-6.986107039207219e-05,2.1686464629048074e-05,0.008628485752173107,0.0020374003135790715,0.007558603843528889,0.0020506185058125482,156.7819217526216,127.84477258988363,112.30523075939655,110.1898100121296,81.6272688524151,71.24976333520735,0.4036631147847677,0.3860442803812949,9.3849375,8.827229166666667,9.11,9.659875,9.405444444444443,8.565083333333334,9.089375,8.905814393939393,2172.459507176536,0.3080720866386429,0.9987338721021962,0.131927301900836,0.0919449931106162,0.0047014968078764145,0.0047009092086045924,0.045029663126958636,3.4528349277350663,0.007080447200329456,130.42493103250368,0.978448581205249,0.4740509485784952,irregular,,,,,
118,85.317375,-9.504694444,0.042172771528503385,11.36875551948052,0.09266268224495404,0.0249489634797616,11.143488293650794,0.1257905033733277,0.03236115454030975,14,14,-5.238902233777823,-5.696376808264702,3.782343640679372,4.109984394850889,3.714089457869513,3.887083299720977,0.34751111111110866,0.4922555555555554,0.0029104194963354754,0.0028993475873101337,D,Megeath,-6.319814759731951e-05,1.206324240789405e-05,-8.813167735908332e-05,1.5471532225750188e-05,0.0007654691387398919,0.00020237958563765004,0.0007315108263212043,0.00017798384520332066,97.26559641063332,94.44305222308519,66.99695581501372,111.64431397631195,109.13221850657135,76.6835097126232,0.090405611737213,0.08457519062533363,11.334644444444447,11.082572222222225,11.160888888888893,11.5084,11.36885909090909,10.836444444444444,11.3287,11.159454545454542,2656.735823370284,0.3927542711556455,0.992210453566007,0.06434348482388581,0.07469394923182901,0.0006808117335164951,0.0006807241944757473,0.006001051194131628,3.3394743650779803,0.0005943724884544968,164.84588867231795,0.9852037699473574,0.3797998695508845,irregular,,,,,
119,85.291875,-9.494611111000001,0.0574320072291858,12.481291351010098,0.124555226437053,0.033791432013773694,11.91533031204906,0.14860135252222184,0.04436835033055751,14,14,2.4297687001425268,2.278719731476246,4.445196678411923,4.200773787050624,3.6860002377609553,3.3492647667785085,0.5007474747474738,0.6019090909090945,0.0017480691209945983,0.002043849091085845,D,Megeath,4.165325579014413e-05,1.7142889274893042e-05,5.309375056895503e-05,2.329981604826793e-05,0.0004368688832449495,9.8278864772531e-05,0.0005089718895565443,0.00012116146104451276,73.07234093578913,70.24763913733621,64.34386209396644,55.20457344202342,51.69273927991145,46.500174940355045,0.5409134020597172,0.4766233121181363,12.289737373737376,11.685136363636365,12.039363636363635,12.54011111111111,12.51846212121212,11.384181818181816,11.98609090909091,11.953722222222225,4800.0,0.26077006216157395,0.9999525712416346,0.18979619786370536,0.04166469046840144,0.00032516016892919736,0.0005055696385713823,0.003209875616213601,3.393080343606853,0.0004111105718728237,86.65979511334469,0.9577589691471401,0.5015935406275689,burst,,,,,
120,85.311375,-9.482166666,0.03502997003814508,10.993696608946607,0.08285812340185802,0.023510624926194986,10.516337252628324,0.10601141841445637,0.025882572702065627,14,14,-5.352597326411428,-7.3900999652868755,3.4462404306586314,3.9801202548235612,3.5242841762806343,4.0958609344887815,0.286840909090909,0.3719242424242424,0.003224242085067462,0.003603707417276499,D,Megeath,-5.809406798190548e-05,1.0853435152921137e-05,-8.661100119787512e-05,1.1719868689829418e-05,0.0009283072109279324,0.0002693680924492312,0.001013122510075896,0.0002545457034490552,86.18844185030581,84.27928791325711,55.628990029048936,125.54567893040344,123.03491434060196,68.42133658417268,0.05458360601391162,0.016449105170398024,11.013670454545457,10.538128787878788,10.87025,11.15709090909091,10.985066666666668,10.352166666666667,10.72409090909091,10.498808333333333,210.74453421658626,0.5702084906054019,0.6397874171161879,0.009614308959308924,0.6071686931236527,0.001087632101771768,0.0010874375120029005,0.010662208224776952,2.7788086563930268,0.0007073338041918869,102.78380443032712,0.008118247172108623,0.2433152949921327,irregular,,,,,
121,85.216708333,-9.46925,0.056735158458223765,12.730615571531642,0.2340916332769252,0.04435854050772986,11.97953243403422,0.2263311775987745,0.048269721394558575,14,14,1.9394128545964269,3.254265051363636,5.3202990185193615,4.778660468951653,5.2772618439989625,4.688885103535913,0.7015694444444431,0.7013194444444419,0.0016995293277992836,0.0018834378293603167,D,Megeath,3.566650978123701e-05,1.8390364741940866e-05,6.634486386823568e-05,2.038704986259038e-05,0.0005453604465667531,0.0001025056006567328,0.000585052466366307,0.0001224302228977269,231.45172871367856,207.0100457470645,203.24872340516632,173.4737761192441,161.19829449693628,150.60805381487884,0.8795384626319653,0.6214615695415251,12.695659722222226,11.944784722222225,12.344875000000002,13.046444444444445,12.67281818181818,11.594125000000002,12.295444444444444,11.925545454545455,768.8993757241957,0.4908985315850454,0.8928829439513669,0.024401915745957563,0.2322496212486571,0.0005562035812122974,0.000556112818262132,0.002794341306404825,3.568425950309402,0.0004368831844904129,166.16322693880414,0.7113752773377222,0.6540388764831702,irregular,,,,,
124,85.407666666,-9.438444444,0.045907081335495474,11.831761713286712,0.04558029974597819,0.02712529182054036,11.360200951825949,0.05159427724205239,0.034467092530602365,14,14,1.728435902804386,1.8353202953110128,1.7611991012286532,1.5531757898014154,1.6803616362004612,1.4969141129685737,0.1844343434343454,0.18797979797979456,0.0010214685013221047,0.0008888700833318639,D,Megeath,2.2995968002759193e-05,1.3304495680428908e-05,3.0521917950809916e-05,1.66302950110611e-05,0.00025190000458510253,0.00014302755685565094,0.00024183991905267667,0.00015570672723632758,19.78028806440448,19.72920010615922,16.741709335848757,14.625498809940975,14.587171260044745,11.218770763466997,0.3168343346162221,0.15915465506804144,11.780328282828282,11.313101010101011,11.688111111111107,11.872545454545454,11.849671717171724,11.219111111111117,11.40709090909091,11.382736363636365,506.94399573489375,0.3085580625498088,0.9997528537932746,0.13141848096627215,0.3944233928025829,0.00018232060315155702,0.00018228952825309576,0.004921880385488902,1.3406140165874092,0.00020874262100997325,21.10448141191145,0.13163683267446935,0.19184284578637345,burst,,,,,
125,85.503625,-9.420888888,0.06094222164643843,12.696652128427127,0.05711433709970385,0.03532323145339797,11.571489971139972,0.05148237867175403,0.03713920045353079,14,14,-3.481180769765209,-3.259850762592934,1.6572877033469469,1.4114308847045227,1.6169057798422248,1.3862005116714795,0.18483636363636613,0.167250000000001,0.00045062669848805383,0.0006292704229069816,P,Megeath,-6.219650629402425e-05,1.7866497147810896e-05,-6.224878341454194e-05,1.90955930034749e-05,0.00013917674385821406,8.39786257854578e-05,0.00019452042733815664,0.0001378178906570255,17.903138932693643,17.81044347416297,5.6918239443306975,12.691942013886298,12.688972536612086,2.062345520129925,0.00034043725062994526,2.9960205750398457e-06,12.671218181818185,11.560958333333335,12.5788,12.763636363636365,12.717132575757574,11.477333333333334,11.644583333333335,11.594767676767676,4800.0,0.9256148585157041,0.00018455689808084052,6.211179262094898e-07,7.689870753368353e-06,0.00026846407180663653,0.0003077327604619085,0.004166830052766189,0.4174984405425399,5.75387544281704e-05,1.9855448762167387,0.9790343125686564,0.06073593799488757,linear,,7.580668807473014e-05,0.00013781789065702547,0.5500496903075028,0.0783394110629807
130,85.148833333,-9.378888887999999,0.036381540335080835,9.103007359307359,0.29684564604969776,0.07764232172671491,8.018713999690787,0.2759193635244203,0.07282494998953923,14,14,-5.916575119875457,-6.224919401587383,3.94467584047096,3.891479321514676,3.823245357017192,3.7888026502462977,1.0811818181818218,1.0215050505050502,0.07980919795798802,0.11091166078466448,D,Megeath,-0.00021097235679626904,3.5657851463349616e-05,-0.00020349973328866942,3.269114347677757e-05,0.02085355016809384,0.00528650540917555,0.0286978492534868,0.00737453469040066,125.46243520815544,92.15136946358237,57.14550796839082,127.21883737840281,99.00312791990999,60.25350728589515,0.03526648103925791,0.03092672341893895,9.01159090909091,7.948974747474747,8.470999999999998,9.55218181818182,9.1116,7.4382222222222225,8.459727272727273,8.009114285714286,2657.01069223916,0.5633425346681954,0.6504330580557625,0.010489985604313766,0.04895976218354008,0.030117361859588108,0.03011359925316976,0.10650093696846558,2.5272253348334868,0.018637110902188968,111.15184085809723,0.9949690608467454,0.6328585607356969,irregular,,,,,
132,85.779666666,-9.373527777,0.06785904571678246,13.116020147907648,0.23575673829685045,0.04355345716103641,12.369276785714286,0.3321548467080852,0.05983037663467515,14,14,9.908216032253947,4.431306332919399,5.746030423944798,6.376533262979606,5.413043043291682,5.551608821322083,0.8523636363636378,1.12081818181818,0.0015305892312788526,0.0024425277350974537,D,Megeath,0.0002010049786469449,2.028669722103544e-05,0.00012553652875949676,2.8329462990835882e-05,0.00041010454514395537,7.137180190257469e-05,0.0006806462275948019,0.00010674236289904518,213.3426618244856,184.04806094061948,85.87531633238386,220.1519525277933,177.3016181348142,157.6651431992685,0.004814594608906719,0.4397045228333181,13.029636363636365,12.20059090909091,12.603454545454547,13.455818181818184,13.108353535353535,11.64018181818182,12.761,12.420699999999998,1591.0613280384662,0.4149771927888993,0.9844194517779724,0.05241437191703552,0.12374374694803375,0.0005875531954127214,0.00058742215396077,0.0020288317008678607,5.17585466946425,0.0005524829574406706,257.9765040324629,0.15304910776415828,1.037269875519348,irregular,,,,,
133,85.666,-9.362722222,0.04639598581998932,10.52065984848485,0.08834794545580885,0.023338850223769813,9.956517063492065,0.09760419166071968,0.022676189947685086,14,14,-6.965703439029199,-6.772852373540982,3.8422556131589176,4.255501711911732,3.7854454957609485,4.304258867380131,0.2996590909090901,0.31067424242424124,0.005452122897003527,0.005050211345587419,D,Megeath,-7.53074178981623e-05,1.0811171988203077e-05,-6.967721566266548e-05,1.0287721010259794e-05,0.0015947590144563429,0.00041505802190635867,0.0015964252651793852,0.000375143842783748,99.06467614035007,94.86417844617556,46.343153410384474,133.2380687266481,129.1888736862472,83.31734582072619,0.006640233081619985,0.04640579338242196,10.491079545454548,9.974753787878788,10.34125,10.64090909090909,10.5172,9.819416666666667,10.130090909090908,9.946133333333332,2171.8608255770896,0.8233434021553312,0.014665829183648615,7.231264424033978e-05,0.0013505312136887712,0.002188619156181328,0.002188337511493256,0.01804716527815084,1.8841402046910485,0.0007068235967311574,45.86694487581885,0.47220537466494106,0.1309818301442489,curved,,,,,
135,85.687875,-9.345,0.047894997786019085,11.676559286745002,0.2670073111260746,0.024288362223891236,11.140720186559472,0.2998154786379384,0.032479903425722184,14,14,-5.5405906176347095,-4.9627780259207945,13.768923619228092,11.676786009916173,10.993220072427654,9.230799571913195,0.8247619047619086,0.9086623376623386,0.006524275502477201,0.006651584952899177,D,Megeath,-7.131806005046023e-05,1.2871923766298055e-05,-8.81477064731747e-05,1.7761766900065972e-05,0.002117847476390282,0.00015381358303366146,0.002230825653237001,0.00019104791775258507,537.6822944405328,414.6031870815774,383.90504539106905,366.6740586522264,262.81659298722957,238.18742700227332,0.5836309102215379,0.5021834128733537,11.417952380952382,10.86875974025974,11.005571428571427,11.830333333333336,11.786909090909093,10.414428571428571,11.32309090909091,11.26540909090909,2171.861327366081,0.2307067574843657,0.9999961358086232,0.23632275821950616,0.09208655480977378,0.0009803221020658207,0.0009801977251602929,0.005725358175045128,9.85107674347594,0.001882027699461995,628.5764514713322,0.9138492703723384,0.7850146701558642,burst,,,,,
136,85.239458333,-9.342027777,0.06022536808321721,12.197593668831164,0.21992079888751068,0.04401954742257911,11.464098556998556,0.23115486163373825,0.0461230593007023,14,14,3.4774252967648973,4.1745284210696205,4.34350728345482,4.297870138611391,4.995980462413974,5.011698381209039,0.9439999999999992,1.0113545454545427,0.003135874980139897,0.0036060248009268186,D,Megeath,5.486735633788368e-05,1.5778155288893666e-05,7.181769485814796e-05,1.7203786299710094e-05,0.0007368562127183921,0.00016964544195084152,0.0008281682529634463,0.00019269271203038745,274.5074403255581,235.69836515759803,223.60587846182239,259.7769158133354,227.7287683978175,210.302079551792,0.6916502297305288,0.5727692425343964,12.368,11.657222727272725,11.896,12.84,12.140854166666665,11.151545454545452,12.162899999999995,11.413549242424242,366.3744797409981,0.4608735855859736,0.9590450125072582,0.03344247090997815,0.5235326506285252,0.004578402638685179,0.004577793164132763,0.0037098413780755103,3.4939059924657245,0.0006732502212674429,239.5416490834276,0.3502890362141226,0.7105692202878688,irregular,,,,,
137,85.155708333,-9.341861111,0.03557986525886776,8.732273160173161,0.1666891703161956,0.06547986657324116,7.958292586580088,0.1978016365029616,0.06749372515112569,14,14,-1.7801707797037265,-2.1946634094755155,2.5847769267716245,3.019462236796748,2.5456553142140086,2.9306670517898143,0.5222196969696961,0.610249999999998,0.04920787119509189,0.06689361386745175,D,Megeath,-5.576028752984012e-05,3.13229989872771e-05,-7.502840592872446e-05,3.4186748457548164e-05,0.01591883319256287,0.0061586874394013655,0.021858568922943047,0.0072392257987409425,42.18402940689632,36.531033033657614,33.36202489921939,52.70853911335063,43.8840899329586,39.067542730796006,0.5298258466132147,0.4431624922651368,8.712473484848484,7.913125000000001,8.451363636363636,8.973583333333332,8.776792929292927,7.608000000000001,8.21825,8.027707070707072,722.2804579874607,0.3154674365786226,0.9996357214832844,0.12435625038934345,0.2767998802760461,0.012012519693982636,0.012010812760292124,0.1082257314422501,2.5445690938877004,0.018420710231150703,65.51630984054988,0.1534841447889886,0.600931025379549,irregular,,,,,
148,85.122791666,-9.284277777,0.04210175646278113,9.925227813852814,0.14541599198386418,0.0311491976673103,8.737383116883118,0.12724013818601712,0.048018110786280536,14,14,5.541442748321726,2.060582654086454,5.1267800384563795,2.9749431103336548,4.6683703874810165,2.6498364076075114,0.5750909090909051,0.529090909090911,0.019786812937563958,0.030380134570982827,D,Megeath,8.207421606217396e-05,1.4810983310624445e-05,4.771304075551824e-05,2.315512103379881e-05,0.004948839640774543,0.0009652919773528236,0.007308407725215693,0.002456654616294837,138.62159417739585,126.09242725420113,95.38483883002917,39.23802011520182,36.70685960892165,32.46085808646053,0.14175305171535335,0.42295031861867655,9.808545454545458,8.611636363636363,9.521000000000004,10.09609090909091,9.954185606060607,8.347090909090907,8.876181818181818,8.771590909090909,280.1455752988582,0.2861161903086687,0.9999234746806904,0.15665758577688987,0.7138599091661368,0.004113680417301802,0.004113006981911353,0.05415929587168372,2.5284817929444308,0.006211606468854381,53.94649020589715,0.6454336793179495,0.4266305922093915,burst,,,,,
149,85.292208333,-9.265222222,0.04266228227586977,10.402964448051947,0.09683044365631653,0.02608509471961716,9.826115061327561,0.10163094647628754,0.02571153835002933,14,14,2.0057210552848805,3.2730636253903587,3.7317109366517776,3.966874859140306,3.712098602559252,3.9527369032810737,0.3295272727272742,0.3511545454545484,0.006482386030276443,0.006467934954828083,D,Megeath,2.389214020224791e-05,1.1911995508694708e-05,3.852400322323581e-05,1.177001355072689e-05,0.0019130965043518066,0.0005126593503162129,0.0018886338639328,0.0004761011957765919,100.69865435117028,98.87153545584654,94.84861938537806,121.94026946089821,120.10263208662576,109.3896865027732,0.7476840993331286,0.5199564470210873,10.407036363636363,9.840122727272727,10.242272727272725,10.5718,10.404954545454547,9.664545454545452,10.0157,9.832823232323232,611.0501756352064,0.6073962699519712,0.4952642334825449,0.005844526307761193,0.16210264008768238,0.002095855105987376,0.0020954176977124386,0.02039369658767803,3.160884781081116,0.00150490102398475,108.99759169281626,0.4445853566715537,0.2597311082412226,irregular,,,,,
