# MJD mag magerr filter distance ra dec
58329.54930  0.821  0.080 W1mW2  0.7565 167.706128 -77.297708
58330.31113  8.366  0.035 W1  0.7052 167.706110 -77.297693
58330.31113  7.554  0.040 W2  0.7052 167.706110 -77.297693
58330.31113  0.811  0.053 W1mW2  0.7052 167.706110 -77.297693
58529.87862  8.426  0.034 W1  0.7499 167.706129 -77.297707
58529.87862  7.591  0.039 W2  0.7499 167.706129 -77.297707
58529.87862  0.835  0.052 W1mW2  0.7499 167.706129 -77.297707
58530.63356  8.435  0.049 W1  0.7301 167.706168 -77.297702
58530.63356  7.611  0.052 W2  0.7301 167.706168 -77.297702
58530.63356  0.824  0.072 W1mW2  0.7301 167.706168 -77.297702
58531.40308  8.448  0.095 W1  0.7562 167.706172 -77.297709
58531.40308  7.649  0.069 W2  0.7562 167.706172 -77.297709
58531.40308  0.800  0.117 W1mW2  0.7562 167.706172 -77.297709
58692.82061  8.667  0.040 W1  0.7727 167.706149 -77.297713
58692.82061  7.720  0.059 W2  0.7727 167.706149 -77.297713
58692.82061  0.947  0.071 W1mW2  0.7727 167.706149 -77.297713
58693.51165  8.663  0.054 W1  0.7497 167.706066 -77.297704
58693.51165  7.737  0.051 W2  0.7497 167.706066 -77.297704
58693.51165  0.926  0.075 W1mW2  0.7497 167.706066 -77.297704
58694.26847  8.574  0.044 W1  0.8000 167.706100 -77.297719
58694.26847  7.655  0.046 W2  0.8000 167.706100 -77.297719
58694.26847  0.919  0.064 W1mW2  0.8000 167.706100 -77.297719
58894.53821  8.420  0.061 W1  0.7512 167.706163 -77.297707
58894.53821  7.570  0.059 W2  0.7512 167.706163 -77.297707
58894.53821  0.850  0.085 W1mW2  0.7512 167.706163 -77.297707
58896.92234  8.413  0.034 W1  0.7883 167.706214 -77.297719
58896.92234  7.584  0.040 W2  0.7883 167.706214 -77.297719
58896.92234  0.829  0.053 W1mW2  0.7883 167.706214 -77.297719
58897.57635  8.466  0.041 W1  0.7671 167.706173 -77.297712
58897.57635  7.614  0.046 W2  0.7671 167.706173 -77.297712
58897.57635  0.852  0.061 W1mW2  0.7671 167.706173 -77.297712
58898.46585  8.369  0.063 W1  0.7663 167.706137 -77.297711
58898.46585  7.542  0.049 W2  0.7663 167.706137 -77.297711
58898.46585  0.827  0.080 W1mW2  0.7663 167.706137 -77.297711
59056.79789  8.322  0.047 W1  0.7440 167.706101 -77.297704
59056.79789  7.544  0.054 W2  0.7440 167.706101 -77.297704
59056.79789  0.778  0.071 W1mW2  0.7440 167.706101 -77.297704
59057.54341  8.397  0.057 W1  0.7411 167.706069 -77.297702
59057.54341  7.594  0.062 W2  0.7411 167.706069 -77.297702
59057.54341  0.803  0.084 W1mW2  0.7411 167.706069 -77.297702
59058.28452  8.507  0.041 W1  0.7545 167.706020 -77.297703
59058.28452  7.712  0.046 W2  0.7545 167.706020 -77.297703
59058.28452  0.795  0.062 W1mW2  0.7545 167.706020 -77.297703
59059.79897  8.389  0.057 W1  0.7562 167.706050 -77.297705
59059.79897  7.599  0.082 W2  0.7562 167.706050 -77.297705
59059.79897  0.790  0.100 W1mW2  0.7562 167.706050 -77.297705
59060.55644  8.379  0.048 W1  0.7563 167.706073 -77.297706
59060.55644  7.562  0.059 W2  0.7563 167.706073 -77.297706
59060.55644  0.817  0.076 W1mW2  0.7563 167.706073 -77.297706
59061.29648  8.333  0.053 W1  0.7957 167.706047 -77.297716
59061.29648  7.504  0.064 W2  0.7957 167.706047 -77.297716
59061.29648  0.828  0.083 W1mW2  0.7957 167.706047 -77.297716
