# MJD mag magerr filter distance ra dec
57812.46450 -0.551  0.146 W1mW2  0.8759  85.247416  -2.356707
57818.55982 11.466  0.019 W1  0.5853  85.247394  -2.356771
57818.55982 11.991  0.063 W2  0.5853  85.247394  -2.356771
57818.55982 -0.525  0.066 W1mW2  0.5853  85.247394  -2.356771
58014.57607 11.436  0.060 W1  0.7381  85.247356  -2.356752
58014.57607 11.974  0.077 W2  0.7381  85.247356  -2.356752
58014.57607 -0.538  0.098 W1mW2  0.7381  85.247356  -2.356752
58015.06490 11.340  0.142 W1  0.8455  85.247495  -2.356707
58015.06490 11.859  0.090 W2  0.8455  85.247495  -2.356707
58015.06490 -0.519  0.168 W1mW2  0.8455  85.247495  -2.356707
58169.55279 11.415  0.034 W1  0.8215  85.247400  -2.356717
58169.55279 11.967  0.063 W2  0.8215  85.247400  -2.356717
58169.55279 -0.552  0.072 W1mW2  0.8215  85.247400  -2.356717
58170.05465 11.427  0.019 W1  0.5218  85.247439  -2.356777
58170.05465 11.978  0.042 W2  0.5218  85.247439  -2.356777
58170.05465 -0.551  0.046 W1mW2  0.5218  85.247439  -2.356777
58174.11211 11.311  0.093 W1  0.6343  85.247526  -2.356757
58174.11211 12.002  0.099 W2  0.6343  85.247526  -2.356757
58174.11211 -0.691  0.136 W1mW2  0.6343  85.247526  -2.356757
58378.70609 11.410  0.072 W1  0.7298  85.247362  -2.356770
58378.70609 11.925  0.139 W2  0.7298  85.247362  -2.356770
58378.70609 -0.515  0.156 W1mW2  0.7298  85.247362  -2.356770
58379.24268 11.636  0.752 W1  0.9540  85.247317  -2.356703
58379.24268 12.066  0.169 W2  0.9540  85.247317  -2.356703
58379.24268 -0.430  0.771 W1mW2  0.9540  85.247317  -2.356703
58536.49073 11.387  0.078 W1  1.0166  85.247349  -2.356669
58536.49073 11.943  0.102 W2  1.0166  85.247349  -2.356669
58536.49073 -0.556  0.128 W1mW2  1.0166  85.247349  -2.356669
58537.02599 11.285  0.020 W1  0.7322  85.247387  -2.356730
58537.02599 11.892  0.038 W2  0.7322  85.247387  -2.356730
58537.02599 -0.607  0.043 W1mW2  0.7322  85.247387  -2.356730
58742.77039 11.417  0.065 W1  0.8478  85.247340  -2.356734
58742.77039 11.840  0.180 W2  0.8478  85.247340  -2.356734
58742.77039 -0.423  0.191 W1mW2  0.8478  85.247340  -2.356734
58743.28907 11.588  0.556 W1  0.7564  85.247366  -2.356752
58743.28907 11.992  0.143 W2  0.7564  85.247366  -2.356752
58743.28907 -0.403  0.574 W1mW2  0.7564  85.247366  -2.356752
58748.23318 11.475  0.020 W1  0.7713  85.247321  -2.356757
58748.23318 12.063  0.049 W2  0.7713  85.247321  -2.356757
58748.23318 -0.588  0.053 W1mW2  0.7713  85.247321  -2.356757
58900.67818 11.419  0.064 W1  0.8753  85.247451  -2.356686
58900.69250 12.031  0.094 W2  0.8397  85.247449  -2.356697
58900.67818 -0.612  0.114 W1mW2  0.8753  85.247451  -2.356686
58901.18931 11.593  0.234 W1  0.9900  85.247261  -2.356849
58901.18931 12.093  0.105 W2  0.9900  85.247261  -2.356849
58901.18931 -0.500  0.256 W1mW2  0.9900  85.247261  -2.356849
59109.77690 11.435  0.093 W1  0.9603  85.247369  -2.356669
59109.77690 12.010  0.088 W2  0.9603  85.247369  -2.356669
59109.77690 -0.575  0.128 W1mW2  0.9603  85.247369  -2.356669
59110.29273 11.383  0.088 W1  0.7811  85.247324  -2.356765
59110.29273 11.969  0.072 W2  0.7811  85.247324  -2.356765
59110.29273 -0.586  0.114 W1mW2  0.7811  85.247324  -2.356765
