# MJD mag magerr filter distance ra dec
58736.88217 11.074  0.019 W1  1.1629 278.172399  -2.166161
58736.88217 11.125  0.029 W2  1.1629 278.172399  -2.166161
58736.88217 -0.051  0.035 W1mW2  1.1629 278.172399  -2.166161
58737.42511 11.064  0.048 W1  1.1919 278.172409  -2.166148
58737.42511 11.129  0.066 W2  1.1919 278.172409  -2.166148
58737.42511 -0.065  0.082 W1mW2  1.1919 278.172409  -2.166148
58936.99797 11.085  0.018 W1  1.1475 278.172384  -2.166208
58936.99797 11.192  0.026 W2  1.1475 278.172384  -2.166208
58936.99797 -0.107  0.032 W1mW2  1.1475 278.172384  -2.166208
58937.52108 11.057  0.039 W1  1.1763 278.172401  -2.166157
58937.52108 11.157  0.064 W2  1.1763 278.172401  -2.166157
58937.52108 -0.100  0.075 W1mW2  1.1763 278.172401  -2.166157
58938.10976 11.072  0.020 W1  1.2079 278.172416  -2.166120
58938.10976 11.167  0.039 W2  1.2079 278.172416  -2.166120
58938.10976 -0.095  0.044 W1mW2  1.2079 278.172416  -2.166120
59101.50918 11.073  0.043 W1  1.1662 278.172402  -2.166147
59101.50918 11.157  0.041 W2  1.1662 278.172402  -2.166147
59101.50918 -0.085  0.059 W1mW2  1.1662 278.172402  -2.166147
59102.02636 11.060  0.018 W1  1.1395 278.172396  -2.166130
59102.02636 11.102  0.025 W2  1.1395 278.172396  -2.166130
59102.02636 -0.042  0.031 W1mW2  1.1395 278.172396  -2.166130
