# MJD mag magerr filter distance ra dec
58569.90227 13.211  0.130 W2  0.9605 278.142762  -2.318113
58569.90227 -0.251  0.137 W1mW2  0.9605 278.142762  -2.318113
58572.84671 13.005  0.084 W1  0.8331 278.142727  -2.318082
58572.84671 13.227  0.159 W2  0.8331 278.142727  -2.318082
58572.84671 -0.222  0.179 W1mW2  0.8331 278.142727  -2.318082
58573.32921 12.984  0.093 W1  0.9935 278.142769  -2.318106
58573.32921 13.272  0.137 W2  0.9935 278.142769  -2.318106
58573.32921 -0.289  0.166 W1mW2  0.9935 278.142769  -2.318106
58736.81671 13.021  0.056 W1  1.3609 278.142852  -2.318199
58736.81671 13.151  0.148 W2  1.3609 278.142852  -2.318199
58736.81671 -0.130  0.158 W1mW2  1.3609 278.142852  -2.318199
58737.49050 13.072  0.161 W1  1.0001 278.142759  -2.318145
58737.49050 13.265  0.170 W2  1.0001 278.142759  -2.318145
58737.49050 -0.193  0.234 W1mW2  1.0001 278.142759  -2.318145
58937.58652 13.068  0.154 W1  1.0574 278.142778  -2.318146
58937.58652 13.247  0.160 W2  1.0574 278.142778  -2.318146
58937.58652 -0.179  0.222 W1mW2  1.0574 278.142778  -2.318146
59101.49133 13.091  0.103 W1  0.9450 278.142752  -2.318130
59101.49133 13.269  0.198 W2  0.9450 278.142752  -2.318130
59101.49133 -0.178  0.223 W1mW2  0.9450 278.142752  -2.318130
59102.02636 12.973  0.037 W1  0.9008 278.142737  -2.318141
59102.02636 13.194  0.089 W2  0.9008 278.142737  -2.318141
59102.02636 -0.221  0.096 W1mW2  0.9008 278.142737  -2.318141
