# MJD mag magerr filter flag distance ra dec
58739.56466 10.793  0.016 W1  5  1.3506 279.601613   0.544535
58372.40416 10.820  0.024 W1  5  1.3518 279.601618   0.544516
58011.25643 10.810  0.021 W1 10  1.3521 279.601619   0.544508
58207.72000 10.767  0.017 W1  5  1.3522 279.601605   0.544564
58574.35083 10.777  0.017 W1  5  1.3561 279.601600   0.544579
57479.52023 10.800  0.016 W1  5  1.3573 279.601618   0.544523
57479.45465 10.805  0.021 W1  5  1.3584 279.601609   0.544556
58574.93964 10.798  0.017 W1  5  1.3591 279.601609   0.544557
57843.41146 10.775  0.019 W1  5  1.3609 279.601606   0.544567
57479.91345 10.791  0.017 W1  5  1.3613 279.601614   0.544542
57477.16103 10.814  0.022 W1  5  1.3638 279.601608   0.544565
58575.46300 10.773  0.017 W1  5  1.3644 279.601611   0.544556
58372.14235 10.772  0.018 W1  5  1.3659 279.601622   0.544513
57111.89095 10.826  0.019 W1  5  1.3692 279.601612   0.544556
57112.15365 10.809  0.017 W1 10  1.3695 279.601615   0.544547
57844.00079 10.817  0.019 W1  5  1.3706 279.601612   0.544557
57111.89108 10.722  0.020 W1 10  1.3708 279.601600   0.544590
57112.48193 10.797  0.017 W1  5  1.3709 279.601622   0.544524
58738.58340 10.779  0.019 W1  5  1.3710 279.601626   0.544500
58011.91121 10.800  0.017 W1  5  1.3722 279.601626   0.544503
57479.58581 10.799  0.018 W1  5  1.3731 279.601613   0.544557
58939.02481 10.796  0.017 W1  5  1.3741 279.601617   0.544545
57479.06156 10.776  0.017 W1  5  1.3753 279.601613   0.544559
56750.38209 10.810  0.020 W1  5  1.3788 279.601622   0.544529
57112.87591 10.797  0.019 W1  5  1.3798 279.601612   0.544566
58575.20132 10.742  0.018 W1  5  1.3811 279.601620   0.544541
58574.80886 10.802  0.018 W1  5  1.3818 279.601613   0.544564
58207.91622 10.778  0.020 W1  5  1.3819 279.601617   0.544553
56749.98721 10.823  0.019 W1 10  1.3833 279.601610   0.544574
56749.85555 10.798  0.019 W1  5  1.3844 279.601607   0.544583
57476.50562 10.816  0.018 W1  0  1.3870 279.601616   0.544562
