index,ra,dec,class,cat
1582,83.793,-5.484305555,D,Megeath
1583,83.706583333,-5.48425,D,Megeath
1584,83.766333333,-5.484222222,D,Megeath
1585,83.720541666,-5.483111111,D,Megeath
1586,83.821083333,-5.482861111,D,Megeath
1587,83.71425,-5.4825,D,Megeath
1588,83.816208333,-5.481305555,D,Megeath
1589,83.553666666,-5.479972222,D,Megeath
1590,83.742375,-5.479888888,D,Megeath
1591,83.826208333,-5.479527777,D,Megeath
1592,83.806875,-5.4795,D,Megeath
1593,83.79975,-5.479194444,D,Megeath
1594,83.809125,-5.478666666,D,Megeath
1595,83.741083333,-5.478277777,D,Megeath
1596,83.565541666,-5.477583333,D,Megeath
1597,83.678083333,-5.477111111,D,Megeath
1598,83.599833333,-5.47625,D,Megeath
1599,83.909541666,-5.47625,D,Megeath
1600,83.960083333,-5.476222222,D,Megeath
1601,83.846625,-5.476166666,D,Megeath
1602,83.575416666,-5.476,D,Megeath
1603,83.817708333,-5.475972222,D,Megeath
1604,83.908791666,-5.475916666,D,Megeath
1605,83.611666666,-5.475527777,D,Megeath
1606,83.877041666,-5.475166666,D,Megeath
1607,83.784875,-5.474805555,D,Megeath
1608,83.632,-5.474111111,D,Megeath
1609,83.825333333,-5.473555555,P,Megeath
1610,83.789916666,-5.473055555,D,Megeath
1611,83.829166666,-5.472861111,D,Megeath
1612,83.97475,-5.471916666,D,Megeath
1613,83.727666666,-5.47175,D,Megeath
1614,83.80575,-5.4715,D,Megeath
1615,83.703958333,-5.471361111,D,Megeath
1616,83.880833333,-5.471166666,D,Megeath
1617,83.924833333,-5.470166666,D,Megeath
1618,83.876791666,-5.469777777,D,Megeath
1619,83.939083333,-5.469611111,D,Megeath
1620,83.847,-5.469444444,D,Megeath
1621,83.670083333,-5.469277777,D,Megeath
1622,83.837541666,-5.469138888,D,Megeath
1623,83.704375,-5.469138888,D,Megeath
1624,83.800125,-5.469027777,D,Megeath
1625,83.866208333,-5.467194444,D,Megeath
1626,83.8065,-5.465972222,D,Megeath
1627,83.78475,-5.465722222,D,Megeath
1628,83.719833333,-5.465222222,D,Megeath
1629,83.961125,-5.465055555,D,Megeath
1630,83.805166666,-5.465055555,D,Megeath
1631,83.772916666,-5.464444444,D,Megeath
1632,83.735458333,-5.464083333,D,Megeath
1633,83.922166666,-5.463916666,D,Megeath
1634,83.789541666,-5.463444444,D,Megeath
1635,83.960833333,-5.463111111,D,Megeath
1636,83.814041666,-5.463055555,D,Megeath
1637,83.633416666,-5.461777777,D,Megeath
1638,83.449833333,-5.460666666,D,Megeath
1639,83.97475,-5.4605,D,Megeath
1640,83.813333333,-5.460416666,P,Megeath
1641,83.807541666,-5.460277777,D,Megeath
1642,83.91075,-5.460277777,D,Megeath
1643,83.831541666,-5.459944444,D,Megeath
1644,83.926916666,-5.459138888,D,Megeath
1645,83.799083333,-5.458583333,D,Megeath
1646,83.843166666,-5.457916666,D,Megeath
1647,83.864541666,-5.45725,D,Megeath
1648,83.640916666,-5.454972222,D,Megeath
1649,83.840125,-5.453972222,D,Megeath
1650,83.882625,-5.452888888,D,Megeath
1651,83.802875,-5.452888888,D,Megeath
1652,83.774541666,-5.452472222,D,Megeath
1653,83.820416666,-5.452444444,D,Megeath
1654,83.451166666,-5.4515,D,Megeath
1655,83.776666666,-5.45125,D,Megeath
1656,83.831416666,-5.451222222,D,Megeath
1657,83.881541666,-5.450555555,D,Megeath
1658,83.711375,-5.450222222,D,Megeath
1659,83.808,-5.450194444,D,Megeath
1660,83.893125,-5.449861111,D,Megeath
1661,83.729166666,-5.449638888,D,Megeath
1662,83.690083333,-5.448611111,P,Megeath
1663,83.67375,-5.448055555,D,Megeath
1664,83.777375,-5.4475,D,Megeath
1665,83.824875,-5.447444444,D,Megeath
1666,83.821458333,-5.446083333,D,Megeath
1667,83.840541666,-5.445722222,D,Megeath
1668,83.976375,-5.445611111,D,Megeath
1669,83.700125,-5.445,D,Megeath
1670,83.857125,-5.444888888,D,Megeath
1671,83.6175,-5.444388888,D,Megeath
1672,83.670041666,-5.444055555,D,Megeath
1673,83.769791666,-5.443805555,D,Megeath
1674,83.766875,-5.443666666,D,Megeath
1675,83.756958333,-5.443388888,D,Megeath
1676,83.616375,-5.442888888,D,Megeath
1677,83.927583333,-5.442638888,D,Megeath
1678,83.698916666,-5.442138888,D,Megeath
1679,83.851916666,-5.442055555,D,Megeath
1680,83.608875,-5.441666666,D,Megeath
1681,83.815416666,-5.441138888,D,Megeath
1682,83.7675,-5.441055555,D,Megeath
1683,83.721041666,-5.441027777,D,Megeath
1684,83.945291666,-5.440888888,D,Megeath
1685,83.848583333,-5.440777777,D,Megeath
1686,83.704416666,-5.440694444,D,Megeath
1687,84.155166666,-5.440333333,D,Megeath
1688,83.259291666,-5.440277777,D,Megeath
1689,83.827333333,-5.440166666,D,Megeath
1690,83.790208333,-5.43975,D,Megeath
1691,83.769125,-5.439722222,D,Megeath
1692,83.895833333,-5.439416666,D,Megeath
1693,83.785833333,-5.438722222,D,Megeath
1694,83.836375,-5.437722222,D,Megeath
1695,83.780333333,-5.436388888,D,Megeath
1696,83.764208333,-5.436055555,D,Megeath
1697,83.798666666,-5.435666666,D,Megeath
1698,83.959125,-5.434722222,D,Megeath
1699,83.694833333,-5.434611111,D,Megeath
1700,83.768666666,-5.434583333,D,Megeath
1701,84.318208333,-5.4345,D,Megeath
1702,83.771583333,-5.434305555,D,Megeath
1703,83.77875,-5.433416666,D,Megeath
1704,83.851375,-5.433388888,D,Megeath
1705,83.793666666,-5.433361111,D,Megeath
1706,83.670625,-5.433305555,D,Megeath
1707,83.481291666,-5.432611111,D,Megeath
1708,83.795083333,-5.432444444,D,Megeath
1709,83.838125,-5.432416666,D,Megeath
1710,83.798,-5.431388888,D,Megeath
1711,83.790708333,-5.430583333,D,Megeath
1712,83.780791666,-5.429972222,D,Megeath
1713,83.85825,-5.429861111,D,Megeath
1714,83.872125,-5.429527777,D,Megeath
1715,83.843541666,-5.429222222,D,Megeath
1716,83.970375,-5.428777777,D,Megeath
1717,83.823083333,-5.428527777,D,Megeath
1718,83.830708333,-5.428361111,P,Megeath
1719,83.85975,-5.427861111,D,Megeath
1720,83.748416666,-5.427805555,D,Megeath
1721,83.87675,-5.427305555,D,Megeath
1722,83.833416666,-5.427138888,D,Megeath
1723,83.87275,-5.426972222,D,Megeath
1724,83.983791666,-5.425888888,D,Megeath
1725,83.815333333,-5.425888888,D,Megeath
1726,83.8555,-5.424861111,D,Megeath
1727,83.848291666,-5.423916666,D,Megeath
1728,83.589666666,-5.423527777,D,Megeath
1729,83.878791666,-5.423194444,D,Megeath
1730,83.808541666,-5.422388888,D,Megeath
1731,83.859125,-5.422222222,D,Megeath
1732,83.773416666,-5.422111111,D,Megeath
1733,83.851,-5.421833333,D,Megeath
1734,83.7855,-5.421583333,D,Megeath
1735,83.93,-5.421138888,D,Megeath
1736,83.880875,-5.421138888,D,Megeath
1737,83.751791666,-5.420583333,D,Megeath
1738,83.714833333,-5.420194444,D,Megeath
1739,83.757083333,-5.420138888,P,Megeath
1740,83.728416666,-5.420111111,D,Megeath
1741,83.877833333,-5.419777777,D,Megeath
1742,83.853666666,-5.419472222,D,Megeath
1743,83.849916666,-5.419416666,P,Megeath
1744,84.251375,-5.419,D,Megeath
1745,83.868291666,-5.417694444,D,Megeath
1746,83.777291666,-5.417055555,D,Megeath
1747,83.771208333,-5.417055555,D,Megeath
1748,83.86,-5.416888888,D,Megeath
1749,83.8675,-5.416138888,D,Megeath
1750,83.618791666,-5.416027777,D,Megeath
1751,83.702666666,-5.415722222,D,Megeath
1752,83.800791666,-5.415694444,D,Megeath
1753,83.817416666,-5.415638888,D,Megeath
1754,83.804916666,-5.415388888,D,Megeath
1755,83.765791666,-5.415055555,D,Megeath
1756,83.99775,-5.414805555,D,Megeath
1757,83.915791666,-5.414083333,D,Megeath
1758,83.795625,-5.413416666,D,Megeath
1759,83.835833333,-5.412805555,D,Megeath
1760,83.520208333,-5.412638888,P,Megeath
1761,83.931166666,-5.411944444,D,Megeath
1762,83.716833333,-5.411916666,D,Megeath
1763,83.785583333,-5.411277777,D,Megeath
1764,83.85175,-5.411027777,D,Megeath
1765,83.685291666,-5.410638888,D,Megeath
1766,83.797083333,-5.410638888,P,Megeath
1767,83.7695,-5.41,D,Megeath
1768,83.852791666,-5.409944444,D,Megeath
1769,83.7845,-5.409666666,D,Megeath
1770,83.936791666,-5.409527777,D,Megeath
1771,83.8005,-5.409388888,P,Megeath
1772,83.820083333,-5.408916666,D,Megeath
1773,83.8265,-5.407333333,D,Megeath
1774,83.831916666,-5.407305555,D,Megeath
1775,83.807666666,-5.40725,P,Megeath
1776,83.246833333,-5.407166666,D,Megeath
1777,83.842458333,-5.406916666,D,Megeath
1778,83.8095,-5.406888888,D,Megeath
1779,83.659208333,-5.406583333,D,Megeath
1780,83.798458333,-5.405916666,D,Megeath
1781,83.8355,-5.405833333,D,Megeath
1782,83.773833333,-5.405111111,D,Megeath
1783,83.793916666,-5.404583333,P,Megeath
1784,83.185625,-5.404222222,D,Megeath
1785,83.842916666,-5.403916666,D,Megeath
1786,84.263125,-5.403861111,D,Megeath
1787,83.855666666,-5.403194444,D,Megeath
1788,83.772333333,-5.402944444,D,Megeath
1789,83.750916666,-5.402527777,P,Megeath
1790,83.754916666,-5.401861111,D,Megeath
1791,83.819791666,-5.401222222,D,Megeath
1792,83.423666666,-5.401194444,D,Megeath
