# index_1   ra          dec         Disk             
  10429     71.006891   16.358908   full             
  10430     71.113123   25.20448    full             
  10431     71.22694    27.295785   III              
  10432     71.318923   31.688872   full             
  10433     71.463782   15.930384   III              
  10434     71.464017   15.926773   full             
  10435     71.603379   17.028101   III              
  10436     71.606774   17.355862   III              
  10437     71.677607   24.984167   III              
  10438     71.691286   16.998386   III              
  10439     71.721095   16.999981   full             
  10440     71.745738   17.043801   full             
  10441     71.746223   17.044372   full             
  10442     71.77592    16.9785     full             
  10443     71.80203    17.166067   III              
  10444     71.952506   29.41967    full             
  10445     72.026424   15.856904   full             
  10446     72.056242   29.414822   full             
  10447     72.08875    29.453234   III              
  10448     72.090665   29.468062   III              
  10449     72.094793   29.772896   "debris/ev trans"
  10450     72.174575   17.060288   III              
  10451     72.239413   29.231019   full             
  10452     72.241258   29.231769   full             
  10453     72.342136   29.186634   full             
  10454     72.666908   16.329373   full             
  10455     72.94748    30.786986   full             
  10456     73.027858   30.78806    I                
  10457     73.040449   30.629176   full             
  10458     73.043138   30.626194   ""               
  10459     73.795775   30.366388   transitional     
  10460     73.847234   30.460042   III              
  10461     73.904062   30.298535   "debris/ev trans"
  10462     73.918617   30.651456   III              
  10463     73.938987   30.327354   full             
  10464     73.941045   30.551089   full             
  10465     73.948257   30.468664   III              
  10466     73.950115   30.467908   full             
  10467     73.950865   30.504321   III              
  10468     73.950996   30.337807   full             
  10469     73.95711    30.327676   evolved          
  10470     73.983609   30.60568    full             
  10471     73.984885   30.826953   III              
  10472     73.997465   30.566979   full             
  10473     74.004974   30.442859   full             
  10474     74.00847    30.350916   III              
  10475     74.153496   30.473153   III              
  10476     74.199947   29.219729   III              
  10477     74.214245   29.658556   III              
  10478     74.250499   29.18305    III              
  10479     74.368806   30.486264   III              
  10480     74.369136   30.48577    ""               
  10481     74.454247   30.255317   III              
  10482     74.468135   29.901867   III              
  10483     74.692796   29.843499   full             
  10484     74.692931   29.912365   ""               
  10485     74.695111   29.911207   "debris/ev trans"
  10486     74.714207   28.523225   full             
  10487     74.714589   28.523337   ""               
  10488     74.716254   29.596022   III              
  10489     74.76271    30.049987   full             
  10490     74.878665   28.789647   III              
  10491     75.012883   30.019      ""               
  10492     75.013008   30.018347   full             
  10493     75.565612   29.056444   III              
  10494     75.645156   27.763746   full             
  10495     75.740608   28.011536   III              
  10496     75.777509   25.388705   full             
  10497     76.075258   24.383967   III              
  10498     76.1725     25.165089   full             
  10499     76.206268   25.171886   III              
  10500     76.249577   31.750294   III              
  10501     76.345092   25.525151   full             
  10502     76.345713   25.525482   ""               
  10503     76.569814   24.769413   III              
  10504     76.597252   24.538794   full             
  10505     76.8003     24.62114    III              
  10506     76.912679   23.185113   full             
  10507     76.956081   30.401208   ""               
  10508     76.956543   30.401319   full             
  10509     76.97904    25.004258   full             
  10510     77.026518   30.439701   III              
  10511     77.029593   24.453346   transitional     
  10512     77.034035   24.454043   evolved          
  10513     77.034154   24.454281   ""               
  10514     77.177249   30.44912    III              
  10515     77.331876   28.92576    III              
  10516     77.36854    29.049981   III              
  10517     77.496197   30.612497   ""               
  10518     77.499075   30.611616   III              
  10519     78.114949   22.896918   evolved          
