mjd,mag,emag,flt,class,ra,dec
57814.1073,8.936,0.034,W1,D,86.789857,0.716954
57814.2382,8.936,0.034,W1,D,86.789893,0.716971
57814.434689999995,8.94,0.034,W1,D,86.78986,0.716965
57814.303779999995,8.947000000000001,0.034,W1,D,86.78987099999999,0.716967
57814.04172000001,8.953,0.037000000000000005,W1,D,86.789863,0.716969
58016.591889999996,8.906,0.034,W1,D,86.78989200000001,0.716975
58016.7228,8.922,0.035,W1,D,86.789861,0.716973
58015.74089,8.933,0.036000000000000004,W1,D,86.789831,0.717002
58016.39554,8.939,0.036000000000000004,W1,D,86.789906,0.716974
58016.85382999999,8.94,0.036000000000000004,W1,D,86.78989200000001,0.716996
58016.19906,8.946,0.034,W1,D,86.789862,0.716993
58015.8718,8.951,0.034,W1,D,86.789888,0.7169800000000001
58016.0027,8.952,0.034,W1,D,86.78984799999999,0.716967
58016.330089999996,8.954,0.034,W1,D,86.789887,0.717003
58016.26451,8.955,0.036000000000000004,W1,D,86.78984799999999,0.7169760000000001
58016.1336,8.956,0.034,W1,D,86.78988199999999,0.716969
58174.24359,8.974,0.034,W1,D,86.78986,0.716956
58170.906039999994,8.977,0.035,W1,D,86.78986,0.716965
58174.374489999995,8.978,0.034,W1,D,86.789877,0.716967
58171.3642,8.98,0.034,W1,D,86.789861,0.716956
58171.10239,8.982000000000001,0.035,W1,D,86.789856,0.716963
58171.4946,8.985,0.035,W1,D,86.789858,0.71696
58170.64423,8.988,0.036000000000000004,W1,D,86.789838,0.71697
58171.03694,8.99,0.035,W1,D,86.789843,0.716959
58171.29875,8.99,0.034,W1,D,86.789857,0.716958
58171.62601,8.991,0.034,W1,D,86.78985899999999,0.716953
58174.5054,8.994,0.034,W1,D,86.78988299999999,0.716973
58380.55035,8.927999999999999,0.035,W1,D,86.789889,0.7169810000000001
58380.7467,8.934,0.034,W1,D,86.78988100000001,0.7169770000000001
58380.026860000005,8.936,0.033,W1,D,86.789872,0.716986
58380.4849,8.94,0.034,W1,D,86.78989,0.716964
58381.00851,8.942,0.035,W1,D,86.789825,0.716979
58381.00837999999,8.943,0.036000000000000004,W1,D,86.78988100000001,0.7169760000000001
58380.15776,8.949,0.034,W1,D,86.789863,0.7169840000000001
58380.6158,8.954,0.034,W1,D,86.789854,0.716967
58380.87761,8.954,0.034,W1,D,86.789855,0.716978
58380.68125,8.955,0.034,W1,D,86.789912,0.717001
58538.46593,9.012,0.015,W1,D,86.789868,0.716973
58538.596829999995,9.023,0.015,W1,D,86.789863,0.716953
58538.1388,9.027000000000001,0.013999999999999999,W1,D,86.789858,0.716963
58538.33515,9.027999999999999,0.016,W1,D,86.789864,0.716961
58537.877120000005,9.032,0.015,W1,D,86.78984200000001,0.716949
58538.00802000001,9.035,0.016,W1,D,86.78988299999999,0.716965
58538.20425,9.036,0.015,W1,D,86.789877,0.716979
58538.2697,9.037,0.013999999999999999,W1,D,86.789862,0.716959
58538.07335,9.039,0.021,W1,D,86.789896,0.716993
58537.74634,9.046,0.018000000000000002,W1,D,86.789866,0.716952
58745.157589999995,8.874,0.036000000000000004,W1,D,86.789908,0.717006
58745.28837,8.877,0.035,W1,D,86.78984,0.716992
58744.699689999994,8.879,0.036000000000000004,W1,D,86.78989,0.7169800000000001
58744.3071,8.881,0.035,W1,D,86.789887,0.7169770000000001
58744.89591,8.886000000000001,0.034,W1,D,86.789852,0.71697
58744.76501,8.889,0.034,W1,D,86.789877,0.716956
58744.176329999995,8.892999999999999,0.034,W1,D,86.789831,0.717
58744.438010000005,8.895,0.034,W1,D,86.789878,0.7169909999999999
58744.568779999994,8.895,0.034,W1,D,86.78988000000001,0.7169760000000001
58744.830460000005,8.901,0.034,W1,D,86.789866,0.716967
58748.363320000004,8.902000000000001,0.034,W1,D,86.789839,0.716974
58902.49778,8.894,0.034,W1,D,86.78986,0.716943
58901.97493,8.895,0.035,W1,D,86.789911,0.71699
58902.43283,8.908,0.034,W1,D,86.789867,0.716952
58902.367379999996,8.91,0.034,W1,D,86.78987099999999,0.716963
58902.563610000005,8.91,0.034,W1,D,86.78984,0.716968
58902.69439,8.912,0.034,W1,D,86.789873,0.716963
58902.30206,8.924,0.036000000000000004,W1,D,86.789851,0.716958
58902.23661,8.929,0.034,W1,D,86.789846,0.716966
59111.607379999994,8.948,0.034,W1,D,86.789868,0.716971
59112.32671,8.951,0.034,W1,D,86.789907,0.716974
59112.065160000006,8.953,0.034,W1,D,86.78989399999999,0.7169760000000001
59112.195929999994,8.955,0.035,W1,D,86.789862,0.7169760000000001
59111.8036,8.957,0.034,W1,D,86.78987099999999,0.716969
59111.4766,8.96,0.034,W1,D,86.789858,0.7169949999999999
59111.73815,8.968,0.034,W1,D,86.789866,0.716969
56731.848320000005,8.203,0.040999999999999995,W2,D,86.78986,0.716965
56732.177489999995,8.221,0.040999999999999995,W2,D,86.78987099999999,0.716956
56732.309279999994,8.222000000000001,0.040999999999999995,W2,D,86.789872,0.716959
56731.71665,8.228,0.040999999999999995,W2,D,86.789865,0.716959
56731.321520000005,8.236,0.040999999999999995,W2,D,86.789887,0.716969
56731.65082,8.238999999999999,0.040999999999999995,W2,D,86.78985899999999,0.716935
56732.04582000001,8.241,0.040999999999999995,W2,D,86.78988299999999,0.716969
56731.584989999996,8.245,0.040999999999999995,W2,D,86.789867,0.716963
56731.45319,8.248,0.04,W2,D,86.789868,0.716964
56923.758689999995,8.212,0.040999999999999995,W2,D,86.789861,0.716946
56923.62715,8.232000000000001,0.040999999999999995,W2,D,86.78987099999999,0.716959
56922.7722,8.234,0.040999999999999995,W2,D,86.78989200000001,0.717006
56922.90361,8.235,0.040999999999999995,W2,D,86.78984799999999,0.716967
56923.03515,8.235,0.040999999999999995,W2,D,86.78987099999999,0.716968
56923.495610000005,8.236,0.040999999999999995,W2,D,86.789879,0.716982
56923.36407,8.238,0.040999999999999995,W2,D,86.78986,0.7169810000000001
56923.16669,8.24,0.040999999999999995,W2,D,86.789868,0.716967
56922.640660000005,8.249,0.040999999999999995,W2,D,86.789828,0.7169909999999999
56923.10099,8.251,0.040999999999999995,W2,D,86.78987099999999,0.716996
56923.232529999994,8.252,0.042,W2,D,86.78988000000001,0.716987
56922.64053,8.254,0.040999999999999995,W2,D,86.789852,0.7169800000000001
57091.10849,8.277000000000001,0.040999999999999995,W2,D,86.789854,0.716979
57090.84579,8.277999999999999,0.040999999999999995,W2,D,86.789893,0.716979
